"seqnames" "start" "end"
"1" "chr1" 11027 12215
"2" "chr1" 18443 19038
"3" "chr1" 27085 28240
"4" "chr1" 36524 37846
"5" "chr1" 44069 45219
"6" "chr1" 64521 65429
"7" "chr1" 156823 158308
"8" "chr1" 191515 192240
"9" "chr1" 214101 215201
"10" "chr1" 227144 227738
"11" "chr1" 337235 338548
"12" "chr1" 409961 411555
"13" "chr1" 418798 419593
"14" "chr1" 513523 514396
"15" "chr1" 580576 581140
"16" "chr1" 594413 595188
"17" "chr1" 614173 614872
"18" "chr1" 655837 656940
"19" "chr1" 680444 681600
"20" "chr1" 961011 962168
"21" "chr1" 1402083 1402825
"22" "chr1" 1711733 1712215
"23" "chr1" 1885141 1885682
"24" "chr1" 1940551 1941575
"25" "chr1" 2101070 2102328
"26" "chr1" 2112396 2113127
"27" "chr1" 2221267 2222648
"28" "chr1" 2260096 2260698
"29" "chr1" 2301659 2302625
"30" "chr1" 2712560 2713599
"31" "chr1" 4101117 4102530
"32" "chr1" 5273121 5273627
"33" "chr1" 5394089 5394898
"34" "chr1" 5402418 5403351
"35" "chr1" 5422082 5422927
"36" "chr1" 5744964 5746209
"37" "chr1" 6134983 6135521
"38" "chr1" 6161061 6162460
"39" "chr1" 6189770 6190475
"40" "chr1" 6243413 6244321
"41" "chr1" 6493288 6494914
"42" "chr1" 6646244 6647304
"43" "chr1" 7517342 7517911
"44" "chr1" 7556479 7557479
"45" "chr1" 7659412 7660298
"46" "chr1" 7672719 7673553
"47" "chr1" 7678888 7680351
"48" "chr1" 7893138 7894400
"49" "chr1" 8100417 8101763
"50" "chr1" 8140219 8141685
"51" "chr1" 8191714 8192532
"52" "chr1" 8428089 8429107
"53" "chr1" 8508486 8509815
"54" "chr1" 8521064 8522268
"55" "chr1" 8552912 8553635
"56" "chr1" 8565989 8566881
"57" "chr1" 8651501 8652221
"58" "chr1" 8652560 8652811
"59" "chr1" 8662131 8663411
"60" "chr1" 8693537 8695176
"61" "chr1" 8917419 8918514
"62" "chr1" 9004332 9005578
"63" "chr1" 9122977 9123698
"64" "chr1" 9289523 9290393
"65" "chr1" 9526873 9527748
"66" "chr1" 9556972 9558566
"67" "chr1" 9860144 9860913
"68" "chr1" 9940259 9941453
"69" "chr1" 10003222 10003790
"70" "chr1" 10047573 10048669
"71" "chr1" 10110080 10110798
"72" "chr1" 10296610 10297556
"73" "chr1" 10305524 10306157
"74" "chr1" 10317905 10318721
"75" "chr1" 10378311 10379530
"76" "chr1" 10473233 10473762
"77" "chr1" 10683617 10684394
"78" "chr1" 10719698 10721256
"79" "chr1" 10884355 10885448
"80" "chr1" 11688910 11689719
"81" "chr1" 11848768 11850509
"82" "chr1" 11878188 11878948
"83" "chr1" 11972443 11973939
"84" "chr1" 12064168 12065085
"85" "chr1" 12277782 12278931
"86" "chr1" 12295110 12295581
"87" "chr1" 12301757 12302385
"88" "chr1" 12347816 12348762
"89" "chr1" 12393321 12394720
"90" "chr1" 12763240 12766201
"91" "chr1" 13269802 13271232
"92" "chr1" 13930578 13931643
"93" "chr1" 13967588 13968431
"94" "chr1" 14020349 14020855
"95" "chr1" 14232954 14234223
"96" "chr1" 14283171 14284631
"97" "chr1" 14382708 14383287
"98" "chr1" 14405820 14406765
"99" "chr1" 14454247 14455190
"100" "chr1" 14533235 14534254
"101" "chr1" 15137824 15139125
"102" "chr1" 15226114 15227101
"103" "chr1" 15258582 15259797
"104" "chr1" 16073558 16074346
"105" "chr1" 16396914 16397733
"106" "chr1" 16463002 16463983
"107" "chr1" 16507262 16508640
"108" "chr1" 16620858 16622213
"109" "chr1" 16664273 16665106
"110" "chr1" 17527054 17528309
"111" "chr1" 17587495 17587877
"112" "chr1" 18591830 18592450
"113" "chr1" 18803403 18804316
"114" "chr1" 18811475 18812755
"115" "chr1" 18848816 18849851
"116" "chr1" 18862779 18863778
"117" "chr1" 18965519 18966854
"118" "chr1" 19083070 19083959
"119" "chr1" 19094142 19095347
"120" "chr1" 19237077 19237981
"121" "chr1" 19432882 19433877
"122" "chr1" 19537632 19538547
"123" "chr1" 19598771 19599389
"124" "chr1" 19763751 19764091
"125" "chr1" 19764777 19765642
"126" "chr1" 19848881 19850096
"127" "chr1" 20272507 20273321
"128" "chr1" 20635087 20636124
"129" "chr1" 20825111 20826297
"130" "chr1" 20928495 20929303
"131" "chr1" 21483107 21484060
"132" "chr1" 21538112 21539106
"133" "chr1" 21713547 21714264
"134" "chr1" 21937015 21938168
"135" "chr1" 22411142 22412302
"136" "chr1" 22651637 22652320
"137" "chr1" 22850851 22852090
"138" "chr1" 22861219 22861823
"139" "chr1" 23156295 23157800
"140" "chr1" 23267805 23268753
"141" "chr1" 23273817 23274997
"142" "chr1" 23294238 23294864
"143" "chr1" 23308126 23308667
"144" "chr1" 23311598 23312684
"145" "chr1" 23369558 23370872
"146" "chr1" 24076043 24077632
"147" "chr1" 24355192 24356272
"148" "chr1" 24556954 24557860
"149" "chr1" 25143714 25144497
"150" "chr1" 25218094 25219520
"151" "chr1" 25438459 25438935
"152" "chr1" 25485462 25486625
"153" "chr1" 25650465 25651391
"154" "chr1" 25782958 25784312
"155" "chr1" 25801342 25802520
"156" "chr1" 26062539 26063455
"157" "chr1" 26071490 26072826
"158" "chr1" 26098887 26099832
"159" "chr1" 26110732 26111469
"160" "chr1" 26130917 26131770
"161" "chr1" 26355544 26357168
"162" "chr1" 26397522 26398458
"163" "chr1" 26443564 26445243
"164" "chr1" 26466800 26467551
"165" "chr1" 26662950 26664977
"166" "chr1" 26676292 26676833
"167" "chr1" 26781900 26782711
"168" "chr1" 27808575 27809523
"169" "chr1" 27867766 27868745
"170" "chr1" 27977084 27977785
"171" "chr1" 28031482 28032161
"172" "chr1" 28088854 28090274
"173" "chr1" 28831064 28832196
"174" "chr1" 29044638 29045528
"175" "chr1" 29060540 29061577
"176" "chr1" 29140818 29142000
"177" "chr1" 29183829 29184586
"178" "chr1" 29211218 29211751
"179" "chr1" 29281551 29283957
"180" "chr1" 29663924 29665674
"181" "chr1" 29758479 29759362
"182" "chr1" 29766393 29767348
"183" "chr1" 29798034 29798944
"184" "chr1" 29861612 29862729
"185" "chr1" 30567778 30568578
"186" "chr1" 30722859 30723918
"187" "chr1" 31112315 31113126
"188" "chr1" 31349403 31350548
"189" "chr1" 31503930 31505833
"190" "chr1" 31515616 31516744
"191" "chr1" 31657581 31658140
"192" "chr1" 31674097 31675186
"193" "chr1" 31724990 31726806
"194" "chr1" 31855944 31856844
"195" "chr1" 31864166 31865783
"196" "chr1" 32051236 32051877
"197" "chr1" 32341389 32341820
"198" "chr1" 32521381 32522952
"199" "chr1" 33217541 33218642
"200" "chr1" 33383590 33384275
"201" "chr1" 33401552 33402150
"202" "chr1" 33556911 33558114
"203" "chr1" 33647145 33648333
"204" "chr1" 33667562 33669002
"205" "chr1" 34295766 34296917
"206" "chr1" 34612122 34612873
"207" "chr1" 34684871 34686328
"208" "chr1" 34695128 34696102
"209" "chr1" 34712923 34713826
"210" "chr1" 35473088 35474020
"211" "chr1" 35494632 35496015
"212" "chr1" 36149922 36151643
"213" "chr1" 36194018 36195386
"214" "chr1" 36436428 36437582
"215" "chr1" 36721751 36722603
"216" "chr1" 36771621 36772784
"217" "chr1" 37086327 37088178
"218" "chr1" 37195751 37196985
"219" "chr1" 37312421 37313239
"220" "chr1" 38142154 38143572
"221" "chr1" 38171563 38172154
"222" "chr1" 38360799 38361831
"223" "chr1" 38709524 38709764
"224" "chr1" 38757705 38758721
"225" "chr1" 38815161 38815935
"226" "chr1" 39387642 39388452
"227" "chr1" 39552505 39553486
"228" "chr1" 39865365 39866565
"229" "chr1" 39895387 39896748
"230" "chr1" 39982735 39984069
"231" "chr1" 39994947 39995560
"232" "chr1" 40014637 40016243
"233" "chr1" 40033765 40034588
"234" "chr1" 40086881 40087494
"235" "chr1" 40107648 40108039
"236" "chr1" 40131913 40133234
"237" "chr1" 40226288 40227569
"238" "chr1" 40236961 40237857
"239" "chr1" 40263574 40264758
"240" "chr1" 40518435 40520128
"241" "chr1" 40566867 40567789
"242" "chr1" 40608055 40608650
"243" "chr1" 40613029 40614155
"244" "chr1" 41373517 41374711
"245" "chr1" 41465591 41466669
"246" "chr1" 41487269 41488046
"247" "chr1" 41497865 41499139
"248" "chr1" 41595609 41596788
"249" "chr1" 41608578 41609504
"250" "chr1" 41666129 41667283
"251" "chr1" 41817112 41817935
"252" "chr1" 41849039 41850283
"253" "chr1" 42224824 42225800
"254" "chr1" 42778685 42779954
"255" "chr1" 43684147 43684802
"256" "chr1" 43686138 43686614
"257" "chr1" 44000483 44001213
"258" "chr1" 44024224 44025517
"259" "chr1" 44048151 44049238
"260" "chr1" 44172991 44174325
"261" "chr1" 44390311 44391051
"262" "chr1" 44490715 44491192
"263" "chr1" 44523118 44524443
"264" "chr1" 44581515 44582867
"265" "chr1" 44703467 44704695
"266" "chr1" 44710693 44711728
"267" "chr1" 44800169 44801021
"268" "chr1" 44814057 44815032
"269" "chr1" 44900463 44901168
"270" "chr1" 44906426 44907410
"271" "chr1" 44949484 44950453
"272" "chr1" 45002873 45003236
"273" "chr1" 45042109 45042760
"274" "chr1" 45048894 45049701
"275" "chr1" 45080536 45081867
"276" "chr1" 45214643 45215450
"277" "chr1" 45217190 45218380
"278" "chr1" 45322870 45323875
"279" "chr1" 45341080 45342067
"280" "chr1" 45580728 45581764
"281" "chr1" 45614271 45615423
"282" "chr1" 45615591 45616615
"283" "chr1" 45633222 45634118
